conf_mat,accuracy,recall,precision,f1_score,mcc
"[[151   0]
 [  1 129]]",0.99644128113879,0.993421052631579,1.0,0.9966996699669968,0.9928642164096362
"[[ 75   2]
 [ 26 178]]",0.900355871886121,0.7425742574257426,0.974025974025974,0.8426966292134831,0.7869170276685343
"[[  1  19]
 [  1 260]]",0.9288256227758007,0.5,0.05,0.09090909090909091,0.14120975242556855
"[[ 25   1]
 [  0 255]]",0.99644128113879,1.0,0.9615384615384616,0.9803921568627451,0.9786636050876097
"[[  1   0]
 [  0 280]]",1.0,1.0,1.0,1.0,1.0
"[[ 25   7]
 [ 12 237]]",0.9323843416370107,0.6756756756756757,0.78125,0.7246376811594203,0.6886788860701222
"[[  7   0]
 [  3 271]]",0.9893238434163701,0.7,1.0,0.8235294117647058,0.8320671646107408
"[[  0   0]
 [  6 275]]",0.9786476868327402,0.0,,,
"[[  2   5]
 [  0 274]]",0.9822064056939501,1.0,0.2857142857142857,0.4444444444444445,0.5297112024615988
"[[ 11  46]
 [  0 224]]",0.8362989323843416,1.0,0.19298245614035087,0.3235294117647059,0.4001299334125548
"[[  0   0]
 [ 14 267]]",0.9501779359430605,0.0,,,
"[[  0   0]
 [ 16 265]]",0.9430604982206405,0.0,,,
"[[  0   0]
 [ 20 261]]",0.9288256227758007,0.0,,,
"[[ 27  10]
 [ 11 233]]",0.9252669039145908,0.7105263157894737,0.7297297297297297,0.7200000000000001,0.6769678332628523
