conf_mat,accuracy,recall,precision,f1_score,mcc
"[[ 15   0]
 [ 17 192]]",0.9241071428571429,0.46875,1.0,0.6382978723404256,0.6562179588897107
"[[  5   0]
 [  0 219]]",1.0,1.0,1.0,1.0,1.0
"[[ 81   7]
 [  7 129]]",0.9375,0.9204545454545454,0.9204545454545454,0.9204545454545455,0.8689839572192514
"[[ 40   3]
 [  7 174]]",0.9553571428571429,0.851063829787234,0.9302325581395349,0.888888888888889,0.8623584239266417
"[[  1   0]
 [  2 221]]",0.9910714285714286,0.3333333333333333,1.0,0.5,0.574755423385904
"[[ 11   9]
 [  1 203]]",0.9553571428571429,0.9166666666666666,0.55,0.6874999999999999,0.6903131522138148
"[[  2   0]
 [  1 221]]",0.9955357142857143,0.6666666666666666,1.0,0.8,0.814655549090328
"[[  0   0]
 [  1 223]]",0.9955357142857143,0.0,,,
"[[  0   0]
 [  3 221]]",0.9866071428571429,0.0,,,
"[[  7  26]
 [  4 187]]",0.8660714285714286,0.6363636363636364,0.21212121212121213,0.3181818181818182,0.3135647603710798
"[[  9   0]
 [  0 215]]",1.0,1.0,1.0,1.0,1.0
"[[  1  17]
 [  5 201]]",0.9017857142857143,0.16666666666666666,0.05555555555555555,0.08333333333333333,0.05267253913662533
"[[  1   9]
 [  5 209]]",0.9375,0.16666666666666666,0.1,0.125,0.09802415097106129
"[[  4   0]
 [ 14 206]]",0.9375,0.2222222222222222,1.0,0.3636363636363636,0.4561587531559688
"[[  1   6]
 [  0 217]]",0.9732142857142857,1.0,0.14285714285714285,0.25,0.37284507897355734
"[[  3   1]
 [  0 220]]",0.9955357142857143,1.0,0.75,0.8571428571428571,0.8640638488223129
"[[  5   9]
 [ 16 194]]",0.8883928571428571,0.23809523809523808,0.35714285714285715,0.2857142857142857,0.23331825292241232
"[[  5   7]
 [ 11 201]]",0.9196428571428571,0.3125,0.4166666666666667,0.35714285714285715,0.31893175590557316
"[[  6   0]
 [  0 218]]",1.0,1.0,1.0,1.0,1.0
"[[  4   2]
 [  0 218]]",0.9910714285714286,1.0,0.6666666666666666,0.8,0.812776759390954
