conf_mat,accuracy,recall,precision,f1_score,mcc
"[[  4   0]
 [  0 165]]",1.0,1.0,1.0,1.0,1.0
"[[ 20   1]
 [  1 147]]",0.9881656804733728,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9456241956241956
"[[ 44   5]
 [  3 117]]",0.9526627218934911,0.9361702127659575,0.8979591836734694,0.9166666666666666,0.8840030367545497
"[[ 18   1]
 [  2 148]]",0.9822485207100592,0.9,0.9473684210526315,0.9230769230769231,0.9134346649232667
"[[  3   4]
 [  0 162]]",0.9763313609467456,1.0,0.42857142857142855,0.6,0.6467181814331598
"[[  5   4]
 [  1 159]]",0.9704142011834319,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.666539375202809
"[[ 27   3]
 [  0 139]]",0.9822485207100592,1.0,0.9,0.9473684210526316,0.9386084995848684
"[[  8   0]
 [  2 159]]",0.9881656804733728,0.8,1.0,0.888888888888889,0.8888543816628471
"[[  3   0]
 [  0 166]]",1.0,1.0,1.0,1.0,1.0
"[[  3   1]
 [  0 165]]",0.9940828402366864,1.0,0.75,0.8571428571428571,0.8634129531752713
"[[  5   3]
 [  0 161]]",0.9822485207100592,1.0,0.625,0.7692307692307693,0.7833052235053279
"[[  5   1]
 [  1 162]]",0.9881656804733728,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8271983640081799
"[[  2   0]
 [  0 167]]",1.0,1.0,1.0,1.0,1.0
"[[  5   2]
 [  2 160]]",0.9763313609467456,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7019400352733686
"[[  1   0]
 [  1 167]]",0.9940828402366864,0.5,1.0,0.6666666666666666,0.7049991556901395
"[[  9   0]
 [  4 156]]",0.9763313609467456,0.6923076923076923,1.0,0.8181818181818181,0.8215838362577492
"[[  4   1]
 [  2 162]]",0.9822485207100592,0.6666666666666666,0.8,0.7272727272727272,0.7213668229628286
"[[  5   0]
 [  1 163]]",0.9940828402366864,0.8333333333333334,1.0,0.9090909090909091,0.9100835305181196
"[[  2   2]
 [  1 164]]",0.9822485207100592,0.6666666666666666,0.5,0.5714285714285715,0.5686315610810878
"[[  1   0]
 [  1 167]]",0.9940828402366864,0.5,1.0,0.6666666666666666,0.7049991556901395
"[[  4   2]
 [  1 162]]",0.9822485207100592,0.8,0.6666666666666666,0.7272727272727272,0.7213668229628286
"[[  1   1]
 [  0 167]]",0.9940828402366864,1.0,0.5,0.6666666666666666,0.7049991556901395
"[[  9   6]
 [  5 149]]",0.9349112426035503,0.6428571428571429,0.6,0.6206896551724138,0.5855538419423051
"[[  1   1]
 [  0 167]]",0.9940828402366864,1.0,0.5,0.6666666666666666,0.7049991556901395
"[[  2   0]
 [  0 167]]",1.0,1.0,1.0,1.0,1.0
"[[  1   0]
 [  0 168]]",1.0,1.0,1.0,1.0,1.0
"[[  1   0]
 [  0 168]]",1.0,1.0,1.0,1.0,1.0
"[[  1   0]
 [  0 168]]",1.0,1.0,1.0,1.0,1.0
"[[  4   0]
 [  0 165]]",1.0,1.0,1.0,1.0,1.0
